Data;VIX;POL;F2S;Dutch TTF;OIL;OIS1;OIS10;B GER 1;B GER 10;B It 1;B IT 10;B Sp 1;B Sp 10;B FR 1;B FR 10;B HUN 1;B HUN 10
01/05/18;15.49;101.87;#N/D;20.095;73.13;-0.4368;0.706;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
02/05/18;15.97;95.92;0.164642857142857;19.865;73.36;-0.4385;0.72;-0.638;0.609;-0.389;1.881;-0.428;1.336;-0.571;0.807;0.076;2.735
03/05/18;15.9;57.16;0.167904285714286;19.950;73.62;-0.439;0.687;-0.636;0.561;-0.391;1.83;-0.428;1.279;-0.575;0.765;0.099;2.717
04/05/18;14.77;38.51;0.160288571428571;20.420;74.87;-0.44;0.685;-0.631;0.573;-0.385;1.889;-0.427;1.325;-0.567;0.786;0.109;2.764
05/05/18;#N/D;175.19;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
06/05/18;#N/D;122.37;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
07/05/18;14.75;96.74;0.161827142857143;20.420;76.17;-0.439;0.678;-0.633;0.561;-0.382;1.856;-0.42;1.303;-0.569;0.774;0.12;2.77
08/05/18;14.71;100.02;0.162124285714286;20.600;74.85;-0.438;0.708;-0.633;0.593;-0.373;1.962;-0.418;1.35;-0.567;0.813;0.127;2.862
09/05/18;13.42;62.20;0.169402857142857;20.845;77.21;-0.434;0.712;-0.636;0.59;-0.363;1.977;-0.415;1.333;-0.569;0.802;0.131;2.851
10/05/18;13.23;74.02;0.169234285714286;21.005;77.47;-0.437;0.707;-0.639;0.587;-0.339;2.027;-0.397;1.34;-0.567;0.804;0.134;2.869
11/05/18;12.65;78.27;0.177082857142857;21.265;77.12;-0.4383;0.715;-0.64;0.589;-0.352;1.965;-0.395;1.299;-0.567;0.793;0.15;2.939
12/05/18;#N/D;115.07;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
13/05/18;#N/D;71.37;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
14/05/18;12.93;127.21;0.164222857142857;21.625;78.23;-0.4343;0.746;-0.628;0.643;-0.341;2.022;-0.389;1.363;-0.557;0.845;0.191;2.99
15/05/18;14.63;42.73;0.155594285714286;21.540;78.43;-0.435;0.785;-0.621;0.678;-0.319;2.047;-0.376;1.389;-0.551;0.872;0.211;3.179
16/05/18;13.42;50.06;0.177148571428571;21.670;79.28;-0.435;0.765;-0.632;0.639;-0.23;2.206;-0.359;1.445;-0.545;0.858;0.237;3.155
17/05/18;13.43;74.49;0.168141428571429;22.300;79.30;-0.4348;0.7895;-0.628;0.673;-0.281;2.206;-0.374;1.44;-0.547;0.879;0.321;3.217
18/05/18;13.42;129.32;0.184508571428571;22.055;78.51;-0.4364;0.746;-0.638;0.612;-0.243;2.314;-0.434;1.47;-0.554;0.832;0.316;3.297
19/05/18;#N/D;118.29;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
20/05/18;#N/D;57.04;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
21/05/18;13.08;87.84;0.216092857142857;22.375;79.22;-0.44;0.719;-0.662;0.558;-0.174;2.474;-0.358;1.541;-0.555;0.829;#N/D;#N/D
22/05/18;13.22;92.17;0.200905714285714;22.905;79.57;-0.438;0.737;-0.649;0.597;-0.204;2.416;-0.357;1.493;-0.562;0.844;0.35;3.354
23/05/18;12.58;171.23;0.208621428571429;22.715;79.80;-0.4409;0.703;-0.674;0.544;-0.163;2.486;-0.349;1.48;-0.575;0.82;0.342;3.292
24/05/18;12.53;48.90;0.215382857142857;22.695;78.79;-0.4421;0.675;-0.672;0.508;-0.177;2.476;-0.359;1.431;-0.578;0.768;0.342;3.228
25/05/18;13.22;102.10;0.239031428571429;21.805;76.44;-0.443;0.62;-0.674;0.442;0.03;2.526;-0.299;1.491;-0.583;0.722;0.339;3.196
26/05/18;#N/D;45.88;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
27/05/18;#N/D;75.50;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
28/05/18;#N/D;49.45;0.267387142857143;#N/D;75.30;-0.442;0.595;-0.687;0.382;0.339;2.73;-0.323;1.552;-0.602;0.709;0.335;3.201
29/05/18;17.02;50.44;0.342068571428571;22.655;75.39;-0.419;0.5651;-0.744;0.3;1.016;3.134;-0.166;1.634;-0.583;0.667;0.347;3.259
30/05/18;14.94;135.21;0.25854;22.985;77.50;-0.4443;0.621;-0.675;0.41;0.91;2.896;-0.147;1.559;-0.58;0.704;0.334;3.294
31/05/18;15.43;77.32;0.26405;22.580;77.59;-0.442;0.6165;-0.675;0.376;0.571;2.813;-0.23;1.522;-0.578;0.681;0.351;3.31
01/06/18;13.46;109.62;0.232702857142857;21.775;76.79;-0.442;0.633;-0.651;0.422;0.389;2.711;-0.298;1.466;-0.55;0.721;0.362;3.278
02/06/18;#N/D;110.85;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
03/06/18;#N/D;56.64;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
04/06/18;12.74;80.79;0.222615714285714;21.905;75.29;-0.44;0.662;-0.65;0.458;0.142;2.585;-0.345;1.366;-0.579;0.742;0.363;3.224
05/06/18;12.4;36.31;0.250888571428571;21.430;75.38;-0.432;0.644;-0.685;0.409;0.327;2.829;-0.358;1.433;-0.584;0.71;0.35;3.163
06/06/18;11.64;37.98;0.234022857142857;21.320;75.36;-0.435;0.723;-0.685;0.505;0.589;2.948;-0.358;1.535;-0.594;0.818;0.339;3.203
